ka,Ph_Vel_Km_s
1.260997067,2.913402062
1.260997067,3.035051546
1.348973607,3.167010309
1.348973607,3.309278351
1.348973607,3.441237113
1.348973607,3.575257732
1.260997067,3.711340206
1.348973607,3.839175258
1.436950147,3.946391753
1.612903226,4.016494845
1.612903226,4.078350515
1.612903226,4.136082474
1.788856305,4.181443299
1.788856305,4.228865979
2.140762463,4.263917526
2.668621701,4.224742268
3.020527859,4.181443299
3.284457478,4.136082474
3.636363636,4.090721649
3.812316716,4.04742268
4.076246334,4.008247423
4.340175953,3.960824742
4.604105572,3.919587629
5.131964809,3.872164948
5.307917889,3.835051546
5.659824047,3.793814433
6.187683284,3.748453608
6.539589443,3.705154639
7.24340176,3.665979381
7.683284457,3.622680412
8.387096774,3.58556701
9.090909091,3.548453608
9.882697947,3.509278351
10.93841642,3.470103093
11.90615836,3.432989691
12.78592375,3.408247423
13.66568915,3.379381443
14.8973607,3.354639175
16.04105572,3.325773196
17.44868035,3.298969072
18.68035191,3.280412371
19.91202346,3.26185567
20.96774194,3.24742268
22.28739003,3.230927835
23.60703812,3.218556701
25.1026393,3.204123711
26.51026393,3.195876289
28.0058651,3.183505155
29.76539589,3.171134021
31.43695015,3.160824742
33.63636364,3.148453608
35.57184751,3.140206186
37.41935484,3.134020619
39.17888563,3.125773196
41.02639296,3.121649485
42.69794721,3.117525773
44.72140762,3.111340206
46.6568915,3.103092784
48.50439883,3.098969072
50.8797654,3.092783505
52.90322581,3.086597938
55.27859238,3.080412371
57.39002933,3.078350515
59.58944282,3.07628866
62.75659824,3.068041237
66.01173021,3.063917526
69.35483871,3.06185567
73.13782991,3.055670103
76.12903226,3.051546392
78.41642229,3.04742268
81.14369501,3.049484536
84.13489736,3.043298969
87.12609971,3.041237113
89.94134897,3.043298969
93.02052786,3.035051546
95.65982405,3.035051546
98.12316716,3.037113402
