ka,M1_Ph_Vel_m_s
1.483312732,7243.542435
2.472187886,6180.811808
3.584672435,5859.778598
4.57354759,5693.726937
5.562422744,5571.95572
6.674907293,5450.184502
7.540173053,5339.483395
8.405438813,5239.852399
9.517923362,5140.221402
10.50679852,5029.520295
11.49567367,4929.889299
12.48454883,4841.328413
13.47342398,4763.837638
14.46229913,4697.416974
15.45117429,4619.926199
16.56365884,4553.505535
17.55253399,4509.225092
18.66501854,4453.874539
20.51915946,4354.243542
23.48578492,4254.612546
26.45241038,4166.051661
30.5315204,4055.350554
34.48702101,3988.929889
38.56613103,3922.509225
42.52163164,3867.158672
46.35352287,3833.948339
50.55624227,3789.667897
55.50061805,3745.387454
60.44499382,3712.177122
65.51297899,3678.96679
70.58096415,3656.826568
75.40173053,3634.686347
80.4697157,3601.476015
85.53770087,3590.405904
90.48207664,3568.265683
95.42645241,3546.125461
100.3708282,3546.125461
104.5735476,3523.98524
108.4054388,3523.98524
112.4845488,3512.915129
116.31644,3512.915129
120.3955501,3490.774908
124.3510507,3490.774908
129.4190358,3490.774908
134.3634116,3468.634686
139.4313968,3457.564576
144.3757726,3457.564576
149.4437577,3446.494465
